               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.047107,            0.055546,            0.014316,             0.80635,             0.48214,             0.52918,             0.24425,            0.045944,            0.069544,            0.015939,            0.007954,            0.007954,            0.007954
                  64,            0.043802,             0.05258,            0.015037,             0.67304,             0.54789,             0.47199,             0.21321,            0.051454,            0.071111,             0.01546,            0.007921,            0.007921,            0.007921
                  65,            0.048475,            0.056003,            0.014934,             0.82682,             0.48745,             0.53787,             0.27189,            0.045633,            0.072317,            0.015563,            0.007888,            0.007888,            0.007888
                  66,             0.04589,            0.059149,            0.016005,             0.80119,             0.49813,              0.5125,              0.2691,            0.045015,            0.070864,            0.015669,            0.007855,            0.007855,            0.007855
                  67,            0.046336,            0.059051,            0.015788,             0.81033,             0.49616,             0.53215,             0.25099,            0.046769,            0.071827,            0.015839,            0.007822,            0.007822,            0.007822
                  68,             0.04734,            0.054796,            0.014583,              0.8437,             0.48586,             0.53828,             0.25569,            0.044272,             0.07288,            0.015799,            0.007789,            0.007789,            0.007789
                  69,            0.044369,             0.05674,            0.015389,             0.71928,             0.53491,             0.53662,             0.24612,             0.04803,            0.072861,            0.015908,            0.007756,            0.007756,            0.007756
                  70,             0.04606,            0.061029,            0.014717,             0.81959,             0.47821,             0.50367,             0.22593,            0.047873,            0.073521,            0.015695,            0.007723,            0.007723,            0.007723
                  71,            0.049507,            0.059641,            0.012932,             0.84398,               0.483,             0.53495,             0.27679,             0.04504,             0.07268,            0.015266,             0.00769,             0.00769,             0.00769
                  72,            0.044253,            0.057753,             0.01483,              0.7827,             0.47087,             0.46391,             0.22653,            0.053162,             0.07268,            0.015257,            0.007657,            0.007657,            0.007657
                  73,            0.048232,            0.055728,             0.01381,             0.81069,             0.52373,             0.57857,             0.28681,            0.042012,            0.073942,            0.015601,            0.007624,            0.007624,            0.007624
                  74,            0.044697,             0.06048,            0.014487,             0.85962,             0.46248,              0.4897,             0.22564,             0.04908,            0.075741,             0.01521,            0.007591,            0.007591,            0.007591
                  75,            0.045785,            0.054049,            0.012911,             0.72245,             0.51406,             0.55405,             0.27483,            0.048773,            0.076946,            0.015273,            0.007558,            0.007558,            0.007558
                  76,            0.047208,            0.057728,            0.013203,              0.7378,             0.52252,             0.57621,             0.26815,            0.042896,            0.075319,            0.015458,            0.007525,            0.007525,            0.007525
                  77,            0.045074,            0.054443,            0.012721,             0.61405,             0.51484,             0.47349,             0.19214,            0.057981,            0.076674,            0.015067,            0.007492,            0.007492,            0.007492
                  78,            0.048124,            0.053751,             0.01207,             0.62331,             0.52876,             0.50419,             0.25386,            0.047425,            0.078266,            0.015201,            0.007459,            0.007459,            0.007459
                  79,            0.045725,            0.052902,            0.013121,             0.69929,             0.52461,             0.53461,             0.28189,            0.042996,            0.076956,            0.015255,            0.007426,            0.007426,            0.007426
                  80,            0.039891,            0.050502,            0.012754,             0.66226,             0.52996,             0.54566,             0.25656,            0.046716,             0.07728,            0.015144,            0.007393,            0.007393,            0.007393
                  81,            0.045247,            0.055648,            0.013767,             0.69583,             0.52849,             0.53851,             0.27063,            0.044835,            0.076477,            0.015079,             0.00736,             0.00736,             0.00736
                  82,            0.046643,            0.057546,            0.013009,             0.74195,              0.5149,             0.56703,             0.25594,            0.044707,            0.076584,            0.015311,            0.007327,            0.007327,            0.007327
                  83,            0.041664,            0.056536,            0.012452,             0.65088,             0.54267,              0.5285,             0.23137,            0.050353,            0.076931,            0.014973,            0.007294,            0.007294,            0.007294
                  84,            0.045501,            0.055605,            0.011995,             0.75899,             0.52894,             0.58199,             0.26961,               0.042,            0.076553,            0.015109,            0.007261,            0.007261,            0.007261
                  85,            0.041293,            0.055895,            0.012645,             0.83371,             0.46095,              0.4975,             0.23309,            0.051112,            0.076838,            0.014752,            0.007228,            0.007228,            0.007228
                  86,            0.044803,            0.051899,            0.012521,             0.67803,             0.54403,             0.54015,             0.26532,            0.047634,            0.076452,            0.014689,            0.007195,            0.007195,            0.007195
                  87,            0.046275,            0.052806,            0.011693,             0.71527,             0.53201,             0.53972,             0.26682,            0.043391,            0.076153,             0.01497,            0.007162,            0.007162,            0.007162
                  88,            0.040656,             0.05752,            0.012052,             0.73021,             0.55195,             0.56003,              0.2646,            0.045678,            0.076719,              0.0146,            0.007129,            0.007129,            0.007129
                  89,            0.044188,            0.055369,            0.011637,             0.70942,             0.56493,             0.56027,             0.25903,            0.043877,            0.075588,            0.014508,            0.007096,            0.007096,            0.007096
                  90,            0.043524,            0.054986,            0.011912,             0.69114,             0.54536,             0.56695,             0.25922,            0.045835,            0.075605,            0.014422,            0.007063,            0.007063,            0.007063
                  91,            0.042319,            0.052596,            0.010916,             0.84041,             0.43859,             0.51762,             0.27522,            0.044138,            0.075208,             0.01475,             0.00703,             0.00703,             0.00703
                  92,            0.042451,            0.056545,             0.01235,              0.7019,             0.55539,             0.57655,             0.28883,            0.041112,            0.075441,            0.014691,            0.006997,            0.006997,            0.006997
                  93,            0.039441,            0.052405,            0.011793,             0.79616,             0.43088,             0.50428,             0.26329,            0.045042,            0.075538,            0.014643,            0.006964,            0.006964,            0.006964
                  94,            0.041029,            0.052616,            0.011194,             0.65669,             0.54019,             0.57087,             0.26652,            0.044075,            0.075859,            0.014824,            0.006931,            0.006931,            0.006931
                  95,            0.042461,            0.056859,            0.010912,             0.74157,             0.55063,             0.60026,             0.28969,            0.041488,            0.075443,            0.014657,            0.006898,            0.006898,            0.006898
                  96,             0.03817,            0.052502,            0.010871,              0.6572,             0.55624,             0.56545,             0.27421,            0.045179,            0.075977,            0.014693,            0.006865,            0.006865,            0.006865
                  97,            0.042588,            0.053157,            0.011022,             0.67888,             0.54791,             0.60604,             0.31454,            0.041927,            0.075565,            0.014787,            0.006832,            0.006832,            0.006832
                  98,            0.043625,            0.058417,            0.011028,             0.83516,             0.47632,              0.5486,             0.28045,            0.045414,            0.076351,            0.014612,            0.006799,            0.006799,            0.006799
                  99,            0.041633,            0.052301,           0.0098966,             0.89619,             0.44426,             0.56617,             0.27466,            0.047432,            0.076643,            0.014882,            0.006766,            0.006766,            0.006766
                 100,            0.042399,            0.056048,            0.011071,             0.71281,               0.561,             0.59148,             0.30645,             0.04062,            0.076004,            0.015016,            0.006733,            0.006733,            0.006733
                 101,            0.039912,             0.05441,            0.012292,             0.65067,             0.55549,             0.59206,             0.27713,            0.047771,            0.078762,            0.014742,              0.0067,              0.0067,              0.0067
                 102,             0.04152,              0.0519,            0.011493,             0.88948,             0.46146,             0.56977,             0.29174,            0.043284,            0.078001,            0.014989,            0.006667,            0.006667,            0.006667
                 103,            0.041005,            0.052956,            0.010865,             0.71574,             0.56795,             0.60995,             0.31104,             0.04091,            0.077097,            0.014874,            0.006634,            0.006634,            0.006634
